66,89,78,212,59,6642,110,35,37,45,134,2517,14151,73,69,50,29,11278,3195,128,200,60,27,5317,3215,71,111,78,7491,2248,1399,1716,70,43,47,109,1027,39,101,103,27,130,592,12914,6235,136,12183,54,6244,61,2020.9
4315,346,14002,8694,7796,7074,1165,9725,7256,5002,5658,2848,14654,6515,12943,4677,470,11860,5661,11205,6297,12162,8430,9443,4132,6660,5685,13630,8267,4905,10229,8362,8591,10745,12033,7121,8262,3200,392,4012,1800,1808,3680,13353,6748,806,12588,8914,10857,5979,7219.14
4833,939,14418,9191,8413,7602,1647,10180,7692,5469,6308,3343,15244,7116,13373,5050,937,12361,5945,11556,6772,12307,9020,9767,4709,7081,6228,14081,8731,5079,10528,8861,9150,11074,12530,7720,8864,3842,814,4709,2275,2385,4240,13880,7142,1284,13078,9164,11327,6491,7695.0
15291,762,16053,0.95253223
2.0,4.0,3.6666666666666665,3.6666666666666665,3.0,0.3333333333333333,
