111,169,38,127,3674,116,187,7484,175,11132,3655,6407,5898,97,81,254,61,208,28,4210,6755,1908,3430,34,82,223,12022,9798,129,109,13662,28,13245,59,39,50,129,36,67,43,66,69,46,104,10904,28,74,58,1069,35,2368.26
504,16549,4794,13453,3960,6166,3338,16656,12008,12080,4297,7647,10088,680,2437,4696,4235,5863,308,5102,7451,9807,8780,8017,5939,519,12810,10470,6072,4693,14495,8641,13812,11813,8436,7701,14350,905,8383,6400,14115,458,541,5054,13044,1282,1420,2713,10291,3143,7128.32
931,16741,5426,14044,4447,6706,3878,17058,12468,12493,4823,8141,10625,1143,2956,5286,4940,6327,755,5605,7935,10416,9222,8671,6407,1066,13118,10992,6473,5289,14742,9255,14226,12284,8979,8220,14822,1341,8707,7105,14408,788,1184,5461,13440,1819,1894,3286,10491,3658,7609.84
15693,1734,17427,0.9004992
2.6666666666666665,4.0,3.0,3.3333333333333335,2.0,1.6666666666666667,
