65,97,282,55,55,52,14918,92,10590,10238,74,82,9582,43,51,691,11821,74,4143,237,64,43,42,12054,10554,68,40,2372,2544,200,86,3270,137,154,1457,78,12647,57,28,99,1362,1607,40,46,98,407,4340,60,887,89,2363.44
9544,7503,7002,9671,13469,13021,15383,6372,11130,10911,367,6275,10239,7802,6829,903,12270,4853,4592,11547,8997,5240,14008,12607,11533,5740,6382,4805,8097,8863,2529,7168,6779,12989,4208,4065,13172,493,703,707,7384,1983,2844,915,12311,2039,13722,6318,1243,8767,7325.88
10036,8028,7505,10174,13952,13513,15801,6773,11482,11624,640,6873,10707,8373,7329,1431,12524,5224,5107,12009,9544,5709,14432,12881,11790,6223,6930,5318,8603,9427,3015,7758,7231,13412,4815,4521,13605,938,1305,1185,7872,2380,3308,1422,12863,2586,14075,6918,1715,9003,7797.78
15651,754,16405,0.9540384
2.3333333333333335,3.6666666666666665,4.333333333333333,3.0,3.0,0.3333333333333333,
