25,207,238,4054,95,11539,144,6482,69,190,3138,206,95,2736,3213,8161,53,34,57,78,44,7713,3190,2657,4989,43,78,68,44,236,76,67,6883,3481,231,82,1904,3929,954,39,202,78,4326,2352,68,59,74,44,50,5103,1797.56
16554,15506,13005,10734,15435,14436,15250,7315,5078,9358,4021,2638,9324,10169,14120,8678,15587,10687,6619,8034,11203,8174,3512,7292,5601,11964,3658,11149,4748,4426,324,1440,9720,12230,9182,658,4577,11985,12127,9343,2940,12599,4578,5636,1534,734,5076,5104,311,5373,7994.92
16759,15643,13406,11132,15970,15019,15585,7912,5623,9918,4373,3005,9898,10681,14431,9121,16083,11227,7161,8471,11705,8625,4078,7575,6099,12295,4069,11561,5482,4926,648,1875,10345,12674,9779,1075,4904,12212,12550,9840,3497,12904,5173,6312,1902,1292,5532,5606,849,5875,8453.54
15429,1481,16910,0.91241866
2.6666666666666665,4.0,3.0,3.6666666666666665,3.3333333333333335,
