27,21,169,17564,178,64,9663,4620,93,105,338,2861,84,5546,3019,27,550,49,215,60,1446,99,77,60,6133,39,7867,7670,97,77,80,49,63,411,53,2251,3083,3505,5873,43,809,641,100,8350,4293,6391,1846,5273,76,1363,2267.42
546,16395,13679,17746,3543,11049,10175,13654,6897,15493,12384,16456,7874,6502,5888,2439,15246,4945,2590,14984,13864,12559,10503,16542,7052,10066,8502,13030,1803,15378,11854,8028,311,3028,2305,2684,3529,13168,11229,927,5974,4888,3588,9165,4551,6969,2223,9536,3410,2950,8362.02
926,16801,14108,18221,4185,11543,10841,13961,7256,16033,12883,16911,8264,6952,6290,2933,15745,5357,3183,15498,14228,13056,11147,16798,7602,10683,8885,13556,2174,15665,12210,8554,1056,3692,2802,3167,4133,13561,11805,1371,6477,5370,4174,9836,5143,7488,2610,9887,4075,3566,8853.24
16159,2239,18398,0.878302
1.6666666666666667,3.6666666666666665,3.0,2.6666666666666665,3.0,2.6666666666666665,
