56,85,32,121,3273,8007,52,81,100,2917,48,33,82,68,71,50,9781,6371,5115,73,39,4872,108,114,115,1926,44,2554,29,60,10223,9639,2943,157,5172,1938,50,363,126,152,1798,1026,40,4170,8262,51,52,4790,7955,2579,2155.26
8576,7927,5928,4471,10431,8325,7230,13423,2220,12443,8922,5068,12075,10943,657,13558,10296,6742,14277,11913,7368,5362,14085,3779,1009,12321,549,3107,11027,8300,10848,13138,3680,10244,5579,7803,4070,7183,12715,7912,2514,2437,627,4538,9339,11477,407,5627,8500,3104,7481.48
9059,8328,6508,5026,10984,8883,7535,13832,2587,12719,9548,5314,12297,11243,1319,13851,10774,7209,14692,12439,7950,5678,14565,4386,1550,12717,946,3604,11665,8856,11235,13738,4074,10760,5961,8417,4555,7592,13169,8364,3032,2975,1200,4915,9889,11815,620,6166,8968,3689,7943.96
15051,635,15686,0.959518
2.3333333333333335,4.333333333333333,3.6666666666666665,4.0,2.3333333333333335,
