26,24,35,89,69,11805,71,48,28,208,240,34,76,278,467,5271,2021,2659,12663,62,14272,204,3773,51,135,46,10077,144,27,4937,86,1692,9409,83,8412,4525,104,12078,112,1634,7951,12807,68,52,186,250,1540,10466,39,2157,2869.82
8394,9206,7121,14459,8008,12481,7038,397,9104,4819,9117,5781,6917,4455,4668,5806,2631,2958,13335,10264,15283,410,8543,4527,724,1540,10748,5918,15437,5507,15056,3468,10098,14172,9245,8497,10534,12575,4723,11271,8411,13609,6005,6714,5203,1817,1956,11193,3158,14071,7747.44
8723,9676,7512,14934,8558,12929,7534,818,9396,5420,9581,6413,7638,4915,5101,6380,3298,3419,13619,10771,15656,831,9056,4910,1212,2160,11140,6473,15747,6001,15541,4015,10644,14521,9869,8943,10917,12887,5122,11822,8842,14122,6444,7310,5710,2203,2458,11709,3650,14465,8220.3
16673,504,17177,0.9706584
1.6666666666666667,4.0,4.666666666666667,2.3333333333333335,2.3333333333333335,1.6666666666666667,
