29,27,27,208,311,230,2463,76,191,6506,31,75,14183,71,78,7445,90,68,78,57,7356,2264,119,1880,66,8280,7982,85,76,55,36,60,53,1214,3061,9829,8708,3997,2110,42,632,118,1654,45,195,11196,1102,5216,7332,3080,2401.74
4603,6851,7238,12304,4432,11136,5203,16107,7031,16855,6915,10470,15084,4605,1060,7878,11603,16800,9071,781,7664,2653,937,6571,4651,14370,8480,2195,13290,660,11821,4878,4145,10361,13946,12057,8978,4162,2459,14464,1737,7791,15294,1707,4042,11844,13742,5674,8870,3788,7985.16
5131,7122,7704,12798,5113,11866,5710,16538,7636,17190,7427,10979,15526,5268,1607,8511,12252,17241,9582,1426,8170,3137,1363,6985,5251,14740,9051,2583,13736,1201,12158,5332,4628,10895,14352,12470,9499,4657,3052,14854,1981,8345,15743,2351,4541,12347,14132,6220,9378,4300,8481.58
16118,2004,18122,0.88941616
3.3333333333333335,4.666666666666667,2.3333333333333335,2.6666666666666665,2.6666666666666665,1.0,
