22,133,14616,104,84,53,100,151,28,82,110,38,146,4775,9452,63,4780,62,85,10557,2417,75,1217,77,6057,2409,893,70,59,57,2753,27,28,6335,46,6525,83,75,52,3918,128,3977,9790,77,686,952,52,50,10023,83,2088.64
8710,10791,15184,16315,14354,625,4608,6373,384,9043,773,6744,12972,13531,15800,6835,6159,9848,3281,11213,6744,657,2354,9923,7744,3239,7930,14201,10411,7367,3190,2858,4730,7400,3163,6923,5723,14200,12034,4486,5425,4748,10274,12676,13927,10411,7560,2704,10456,7587,7891.76
9239,11333,15648,16723,14863,1192,5196,6927,905,9627,1441,7109,13287,13961,16051,7459,6624,10354,4021,11847,7296,1095,2909,10542,8220,3902,8432,14412,10813,7834,3745,3338,5153,7827,3549,7580,6257,14431,12424,5021,5739,5208,10516,13192,14275,10940,8169,3047,10899,8090,8373.24
16262,632,16894,0.9625903
1.6666666666666667,3.6666666666666665,4.333333333333333,3.3333333333333335,2.6666666666666665,1.0,
