24,128,286,309,293,341,385,421,582,637,602,582,753,765,751,880,1068,1126,1151,1196,1261,1256,1237,1233,1586,1651,1764,1781,1833,1877,1971,2116,2136,2120,2175,2154,2290,2327,2425,2436,2424,2487,2463,2647,2628,2742,2897,2967,2938,3003,1542.1
3239,6968,9093,9218,9611,9958,10505,10950,11437,11714,11710,11771,12147,12028,12213,12516,12858,13291,13230,13447,13454,13560,13599,13652,13763,13586,13779,13922,13805,13939,13828,14009,13955,14244,14097,14060,14067,14033,14330,14100,14161,14323,14227,14431,14390,14091,14186,14362,14236,14255,12766.96
3719,7443,9365,9829,10096,10453,11070,11633,11874,12207,12275,12306,12831,12568,12605,13049,13360,13998,13734,14083,13873,13886,14276,14143,14338,14291,14388,14208,14297,14392,14126,14532,14550,14343,14457,14549,14542,14709,14615,14554,14464,14858,14591,14735,14767,14732,14794,14841,14769,14817,13258.7
16639,660,17299,0.9618475
0.3333333333333333,0.6666666666666666,2.3333333333333335,6.666666666666667,6.666666666666667,
