47,27,31,116,211,234,220,289,383,484,475,651,799,819,918,930,987,1015,1131,1171,1235,1209,1299,1537,1518,1532,1520,1530,1549,1777,1893,1997,2231,2202,2204,2250,2461,2528,2587,2717,2750,2782,2790,2819,2840,2895,2899,2905,2887,3249,1550.6
3217,5385,3963,7802,8758,8635,8214,8955,9351,9872,10333,10604,11021,10985,11265,11305,11401,11721,11666,12240,12295,12554,12576,12866,12649,12817,12833,12710,12776,12769,12826,12766,12900,12614,12909,12929,12998,12974,12946,12892,12877,13008,13128,13064,12899,13073,12862,12838,12841,13020,11438.04
3616,5868,4464,8521,9310,8983,8531,9520,9885,10194,10836,11067,11173,11534,11711,12042,11860,12193,12013,12504,12706,12938,13020,13198,13087,13293,13214,13184,13265,13168,13306,13337,13347,13170,13382,13503,13549,13579,13340,13466,13434,13389,13521,13411,13520,13499,13467,13485,13250,13474,11906.54
15201,761,15962,0.9523243
1.0,1.3333333333333333,2.6666666666666665,9.333333333333334,2.3333333333333335,
