64,145,165,161,116,159,183,500,599,823,996,1015,1115,1141,1124,1268,1238,1217,1274,1290,1583,1586,1636,1668,1648,1686,1665,1668,1701,1685,1675,1900,1890,2360,2557,2546,2514,2710,2765,2768,2787,2765,2840,3090,3080,3163,3286,3272,3429,3560,1721.52
5545,7543,7551,9467,8837,9800,9894,11301,11761,11967,12219,12368,12449,12589,12542,12675,12625,12787,12857,12926,13316,13610,13427,13385,13326,13438,13353,13380,13529,13445,13395,13506,13383,13443,13430,13395,13267,13373,13367,13391,13418,13439,13492,13498,13395,13369,13322,13305,13649,13476,12444.5
6006,7979,7913,9974,9270,10126,10413,11829,12159,12467,12785,12770,13018,13080,12830,13270,13312,13331,13405,13324,13828,13882,13804,13831,13744,13953,13777,13768,14059,13941,13759,13883,13796,13853,13971,13888,13942,13875,13873,13952,13865,14002,13819,13911,13996,14072,13996,13886,14078,13934,12923.98
15839,671,16510,0.959358
1.0,1.3333333333333333,6.0,8.333333333333334,
