113,124,91,69,78,169,272,369,481,643,661,698,974,1037,1104,1186,1204,1277,1289,1391,1594,1573,1638,1671,1684,1777,1851,1899,1863,1880,2020,1995,2030,2146,2198,2214,2345,2438,2449,2611,2854,3011,3020,3067,3171,3177,3219,3287,3318,3398,1692.56
6031,6659,7362,7290,8303,9905,10383,10912,11459,11712,11960,12107,12422,12595,12958,13153,13255,13288,13375,13644,13819,13774,13790,13953,14001,13824,13897,14015,13768,13810,13988,13955,14019,13950,14116,14257,14346,14333,14290,14271,14311,14460,14490,14255,14436,14212,14229,14465,14332,14512,12853.02
6617,7263,7975,7801,8805,10313,10628,11240,12034,12269,12366,12594,12898,13271,13607,13579,13660,13914,13869,14318,14318,14305,14159,14467,14267,14395,14211,14474,14332,14215,14447,14374,14388,14495,14589,14761,14744,14774,14508,14866,14755,14817,14787,14856,14887,14871,14838,14905,14699,14953,13329.56
16768,665,17433,0.961854
1.6666666666666667,1.3333333333333333,5.666666666666667,8.0,
