29,229,209,244,221,286,545,530,560,526,595,610,719,738,964,945,1200,1199,1299,1352,1325,1348,1473,1476,1473,1635,1670,1881,1898,2026,2054,2041,2086,2063,2100,2139,2194,2177,2179,2182,2166,2215,2384,2388,2416,2468,2711,2747,2834,2964,1514.26
3778,6955,7779,8537,8497,8854,10740,10251,10886,10861,11047,11031,11256,11401,11723,11652,12043,12488,12749,12700,12796,13015,13109,13038,13067,13346,13288,13292,13218,13521,13340,13355,13313,13355,13373,13564,13368,13431,13385,13563,13506,13388,13610,13413,13485,13345,13409,13575,13404,13326,12108.52
3827,7354,8107,9154,9028,9369,11159,10845,11147,11352,11603,11680,11753,11640,12116,12289,12490,12901,13272,13221,13229,13485,13661,13661,13691,13820,13646,13875,13748,14074,13813,13814,13687,14004,14044,13760,13981,13874,13947,13914,13659,13790,13994,13871,13957,13887,13953,13887,13977,13895,12578.1
15758,646,16404,0.9606194
0.3333333333333333,1.6666666666666667,3.0,8.0,3.6666666666666665,
