67,80,87,141,142,188,382,362,492,475,527,649,679,682,913,959,1000,1055,1030,1050,1291,1373,1416,1497,1511,1674,1774,1817,1914,2005,2013,2031,2011,2029,2099,2147,2160,2141,2264,2282,2468,2541,2766,2779,2860,3024,3002,3044,3017,3005,1538.3
3914,5212,6179,8285,8438,8560,9764,9662,10233,10100,11017,11058,11153,11101,11521,11843,12119,12243,12259,12595,12789,13210,13227,13278,13157,13365,13445,13119,13289,13359,13297,13273,13339,13234,13364,13458,13230,13339,13364,13361,13437,13257,13350,13261,13316,13386,13421,13482,13324,13330,11926.34
4416,5579,6498,8671,9143,9085,10357,9906,10790,10546,11596,11626,11726,11598,11774,12452,12724,12739,12718,13089,13191,13666,13631,13786,13603,13691,13754,13704,13787,13861,13829,13921,13840,13621,13909,13945,13818,13819,13897,13879,13861,13731,13891,13811,13874,13850,13964,14009,13719,13798,12413.86
15705,682,16387,0.95838165
1.0,1.3333333333333333,3.0,11.333333333333334,
