103,141,119,141,147,186,209,259,788,817,831,849,937,963,1190,1249,1267,1274,1292,1256,1333,1398,1639,1672,1696,1725,1757,1775,1829,1840,1850,1840,2137,2337,2315,2359,2336,2354,2561,2570,2718,2812,2827,2797,2863,3029,3126,3106,3171,3312,1662.04
5587,7004,7487,7822,8068,9122,9013,9484,10886,11274,11398,11472,11660,11590,12178,12214,12405,12417,12312,12491,12506,12629,12641,12666,12588,12524,12542,12636,12602,12558,12604,12603,12693,12848,12471,12775,13001,12989,12790,13018,13140,12905,13105,13070,12978,13117,13042,13113,13138,13187,11807.26
5889,7278,8118,8393,8612,9502,9393,9875,11319,11875,11701,12059,12140,12151,12759,12481,12639,12810,12855,12906,13079,13068,13204,13194,13072,13179,12993,13088,13157,13137,13155,13052,13168,13268,13153,13190,13621,13351,13062,13462,13561,13441,13783,13583,13473,13589,13701,13717,13593,13693,12290.84
15571,608,16179,0.9624204
1.6666666666666667,1.3333333333333333,8.333333333333334,5.333333333333333,
