32,26,26,214,302,363,380,361,385,490,470,472,433,724,898,873,1017,1196,1230,1257,1254,1311,1561,1801,1818,1836,1883,1882,1936,1991,2055,2035,2089,2101,2232,2260,2485,2497,2660,2821,2863,2896,3009,3100,3164,3181,3321,3303,3460,3440,1667.88
5356,5956,6562,7515,9291,9647,9752,9981,10750,10918,11018,11216,11154,11381,12125,12195,12601,12818,13086,13331,13293,13515,13585,13565,13615,13634,13639,13692,13603,13556,13562,13579,13706,13691,13722,13677,13730,13728,13820,13933,13711,13686,13647,13762,13798,13765,13764,13691,13688,13648,12333.16
5902,6601,7094,8032,10038,10218,10186,10377,11360,11510,11691,11770,11422,11899,12418,12849,13148,13193,13700,13713,13895,14047,13948,14170,14042,13993,13946,14114,14144,14039,14053,14256,14064,14201,14216,14184,14239,14125,14338,14214,14340,14015,14177,14333,14271,14269,14309,14103,14152,14349,12833.34
16037,797,16834,0.9526553
1.3333333333333333,1.6666666666666667,4.0,9.666666666666666,
