34,24,44,104,230,527,531,509,529,477,676,740,781,835,842,987,1063,1041,1079,1257,1451,1441,1510,1666,1711,1725,2006,1985,2011,2174,2254,2301,2530,2560,2627,2648,2700,2685,2692,2753,2977,3076,3245,3213,3328,3694,3674,3716,3744,3773,1803.6
2513,3825,3329,8316,10295,10955,11965,12357,11531,12155,12441,12738,12760,13145,12948,13378,13580,13571,13647,14050,14243,14442,14314,14259,14062,14105,14216,14260,14241,14109,14195,14297,14239,14401,14365,14501,14402,14466,14556,14583,14688,14651,14594,14717,14615,14848,14885,14753,14756,14880,13062.84
2987,4333,3625,8670,10689,11598,12489,12896,12046,12604,13085,13238,13451,13549,13486,13891,14107,14239,14198,14430,14844,14677,14691,14725,14702,14646,14681,14654,14691,14626,14595,14798,14715,14830,14670,14892,15063,14905,15019,15130,15169,15104,15168,15180,15123,15346,15172,15241,15273,15338,13545.58
17140,676,17816,0.9620566
1.0,0.3333333333333333,0.6666666666666666,3.6666666666666665,11.0,
