26,32,182,348,437,436,499,644,628,718,695,779,796,959,1011,1074,1157,1173,1208,1254,1259,1352,1469,1487,1467,1451,1546,1529,1743,1981,1969,2060,2122,2210,2187,2240,2242,2258,2258,2266,2446,2638,2689,2847,2827,2874,3116,3211,3312,3453,1611.3
6962,5264,8792,9175,9932,10231,10704,11735,11433,11753,11801,12056,12032,12341,12573,12897,13009,13285,13325,13411,13470,13637,13669,13855,13675,13777,13567,13637,13655,13650,13513,13571,13654,13611,13553,13594,13490,13733,13587,13822,13765,13717,13798,13567,13559,13675,13611,13658,13598,13537,12638.32
7399,5685,9269,9731,10473,10885,11382,12401,11689,12277,12460,12538,12584,12747,12915,13321,13542,13796,13885,13900,13914,14193,14241,14057,14219,14068,14118,14035,14139,14139,14158,14059,14207,13990,14148,14129,14125,14252,14256,14028,14179,14159,14171,14136,14141,14168,14036,13947,14066,14097,13129.08
15882,693,16575,0.95819
0.6666666666666666,1.6666666666666667,3.6666666666666665,10.666666666666666,
