Context_Switch(s),Avg_Response_Time,Avg_Waiting_Time,Avg_Turnaround_Time,CPU_Utilization,Avg_Throughput
1,2117.86,12716.22,13194.82,0.963442196858402,2.9411764705882355
2,2347.3,14677.04,15160.58,0.928991980509593,2.6315789473684212
3,1863.38,13066.62,13546.08,0.9102730117621668,2.7777777777777777
4,2303.82,13592.58,14077.66,0.8927153038463631,2.7777777777777777
5,2016.24,14536.58,15012.58,0.8742001091323974,2.5
10,2733.26,18696.6,19208.9,0.7350285459772442,2.0833333333333335
20,3118.52,23678.9,24169.9,0.5890676296782665,1.6666666666666667
30,4520.58,26017.58,26500.04,0.5877174659067173,1.5151515151515151
50,4694.76,34040.52,34535.66,0.42796341573847685,1.1363636363636365
