66,46,67,95,206,238,342,373,582,710,729,710,716,779,808,846,918,925,941,984,1012,1095,1147,1124,1161,1276,1282,1342,1428,1498,1526,1630,1717,1714,5034,5250,2086,2190,2267,2245,2264,2338,2314,2397,2440,5917,2765,2793,2852,2992,1563.54
4183,4855,6130,6891,8144,8361,9215,9355,10197,10417,10363,12782,10566,10776,10838,13020,13247,11082,11088,11315,14334,11841,13494,11721,11848,11982,12024,11994,13567,12045,12154,12073,12109,12042,13351,13689,12057,12022,12138,12125,12188,12183,13145,12323,12304,13060,12363,12467,12295,12958,11334.42
4672,5393,6767,7549,8384,8751,9832,9923,10579,10930,10751,13194,11012,11163,11192,13462,13525,11386,11578,11903,14683,12132,13679,12160,12265,12450,12574,12516,13987,12678,12529,12642,12658,12713,13846,14079,12526,12591,12743,12622,12697,12534,13632,12806,12902,13419,12847,12861,12962,13395,11801.48
15305,569,15874,0.9641552223762127
1.0,1.6666666666666667,4.0,10.0,
