85,60,218,197,265,397,549,639,617,712,739,719,749,833,963,1186,1185,1202,1281,1286,1303,1538,1709,1826,1817,1788,1993,2195,2244,2529,2559,2565,2545,2783,2991,3146,3381,3396,3561,3670,3650,3630,3648,3653,3734,3761,3881,3935,3952,3999,2025.28
7810,7555,9115,9466,10110,10510,11314,11939,11996,12112,12063,12347,12317,12539,13035,13330,13486,13629,13746,13865,14054,14044,14141,14078,14213,14075,14162,14252,14115,14005,13988,14066,14073,14163,14345,14343,14319,14362,14312,14217,14036,14274,14241,14203,14197,14238,14308,14376,14413,14205,13162.04
8445,8025,9609,9985,10433,10840,11778,12489,12200,12641,12440,12825,12777,12931,13489,13621,13994,14110,14123,14395,14510,14547,14473,14709,14558,14560,14592,14607,14496,14621,14511,14624,14484,14581,14803,14635,14873,14689,14695,14793,14562,14823,14789,14539,14679,14701,14806,14682,14579,14723,13607.88
16520,660,17180,0.9615832363213038
1.6666666666666667,3.0,11.333333333333334,0.6666666666666666,
