205,3382,143,110,13238,5616,84,10523,65,15588,164,38,9695,9244,8013,95,6955,10163,82,68,60,14289,3219,99,144,172,293,5760,285,66,6885,204,10046,5123,2781,35,6755,125,1232,99,158,32,2894,78,851,153,48,23,551,7287,3264.36
1005,9955,9517,5527,13771,15156,7657,12060,3964,15783,14406,5409,10330,9732,8454,3085,7459,11506,10861,5753,7868,14744,3936,6013,11415,3724,6438,6063,4537,480,7417,9648,10790,13688,3427,12415,7133,4417,1651,8417,4026,328,3773,420,1093,11906,4425,2322,7133,11844,7457.62
1364,10514,10156,6090,14221,15607,7997,12562,4233,16026,14628,5833,10933,10080,9063,3502,7777,11926,11389,5960,8166,15351,4584,6441,11839,4259,6941,6551,5102,754,7926,9990,11245,14054,3784,12862,7685,4820,2147,9054,4459,756,4239,930,1828,12180,4774,2721,7534,12179,7900.32
15651,845,16496,0.9487755
2.0,2.0,3.0,2.0,5.0,6.0,4.0,2.0,5.0,3.0,3.0,4.0,0.0,5.0,2.0,2.0,
