32,127,641,219,199,258,331,467,1706,560,568,660,720,698,709,980,1009,1076,1095,1226,1293,1277,1266,4443,1552,1533,1679,1738,1807,1850,1939,2040,2044,2078,2099,2162,2151,2295,2391,2354,2341,2334,2506,2602,2587,2597,2719,2794,2867,2863,1589.64
2995,6159,14229,8472,12711,9360,10347,11865,14843,12053,12365,15818,12778,12858,12787,13521,13571,13950,14059,17251,14637,14649,14843,17528,17523,14900,15080,15196,15047,15185,17457,17503,15383,15502,15383,17454,15437,17351,15699,17424,15618,17521,15911,15914,15900,17122,16068,15956,17080,16075,14486.76
3490,6855,14452,9033,13260,9765,10951,12553,15319,12727,12725,16300,13311,13386,13292,14016,14142,14567,14550,17780,15059,15103,15418,18121,18072,15542,15730,15707,15605,15933,17877,17906,15979,15949,15855,17799,15634,17876,16060,17877,16096,17819,16477,16299,16169,17692,16612,16572,17580,16543,14988.7
17363,2668,20031,0.86680645
0.3333333333333333,0.6666666666666666,0.6666666666666666,4.0,6.0,5.0,
