106,96,88,67,70,155,326,353,487,1929,621,604,797,855,903,983,1011,1089,1104,1212,4264,1365,1431,1466,1529,1637,1746,1711,1732,1779,1919,1907,2022,2068,2163,2229,2407,2388,5500,2584,5643,2766,2785,2832,2866,2911,3030,3178,3226,3208,1782.96
5424,5858,6342,6440,10403,11497,9594,9888,10475,13277,11045,13506,14028,11504,14238,14274,12015,12065,14644,12497,15068,12726,12696,12747,12914,12873,15059,12803,13010,12938,14891,13007,14909,14865,13106,13348,13373,14835,14860,13471,15056,14749,13543,14854,13644,15144,14988,13964,13937,14969,12747.22
5999,6500,6798,6875,10927,11921,10056,10486,10890,13559,11454,13903,14365,12170,14710,14676,12571,12554,14969,12983,15370,13300,13342,13219,13343,13314,15502,13313,13575,13408,15445,13510,15425,15353,13604,13807,13883,15331,15288,13874,15297,15279,13949,15333,14262,15556,15311,14274,14376,15338,13210.94
16733,1107,17840,0.9379484
1.3333333333333333,1.6666666666666667,5.333333333333333,8.333333333333334,
