26,32,171,844,344,344,390,531,628,713,695,703,814,2596,919,937,962,1064,1098,1148,1215,1292,1352,1372,1355,1333,1404,1420,4546,4750,1641,1832,1896,2048,2040,2022,2039,2059,2082,2086,2183,5584,2266,5713,2435,5871,2663,2704,2813,2874,1796.98
5649,4102,8448,11331,9688,9691,10189,11213,11411,12010,12275,12231,12465,15853,12788,16153,16240,16401,13894,16818,13986,14503,14605,17294,14603,14815,14867,17176,17618,17002,14882,14837,14982,14996,15076,15028,15058,16688,15218,15191,16637,16909,15533,16671,15570,16456,15488,15620,15651,15600,14148.2
6225,4574,8963,11712,10216,10216,10526,11571,11852,12351,12806,12872,13079,16206,13239,16490,16699,16845,14479,17277,14511,15146,15181,17677,15131,15292,15409,17474,17883,17526,15430,15347,15543,15624,15561,15608,15705,17152,15656,15836,17172,17330,16111,16934,15822,16868,16158,16176,16191,16287,14638.78
16531,2895,19426,0.85097295
0.6666666666666666,1.0,2.3333333333333335,2.6666666666666665,10.0,
