33,32,49,38,244,1319,462,443,465,451,503,697,723,776,752,3312,929,984,1101,1276,1313,1348,1333,5011,1527,1567,1633,5098,1825,1919,1999,2041,2170,2270,2251,2338,2431,2416,2468,2525,2644,2855,2840,2894,3009,6788,3160,3175,3231,3368,1880.72
3754,2813,4117,5791,9724,17198,11386,11718,11284,15309,15978,12951,13166,16378,13592,16842,13928,17173,14441,14903,19494,18255,15065,18404,15401,15311,15556,18246,15491,18184,15613,15563,15689,15934,18084,15770,18055,15983,16175,16145,16081,16057,16165,16297,17690,18177,16454,16502,16533,16748,14831.36
4218,3156,4507,6275,10225,17615,11836,12167,11790,15636,16523,13368,13667,16944,14284,17326,14370,17530,14884,15579,19803,18755,15576,18814,15995,15931,15915,18653,16089,18639,16250,15996,16326,16504,18438,16356,18473,16576,16655,16606,16499,16735,16756,16754,18227,18429,17016,17091,17185,17303,15324.9
18032,2803,20835,0.8654668
1.0,0.3333333333333333,1.0,1.6666666666666667,5.666666666666667,7.0,
