68,73,66,121,122,181,285,326,385,401,457,561,698,768,901,982,960,933,1016,1088,1314,1290,1274,1277,1307,1587,1568,1583,1669,1695,1781,1908,1838,1856,1852,2027,2042,2104,2085,2256,2385,2453,5659,2699,2724,2755,5938,2954,2974,2958,1564.08
2885,4922,8826,6882,7646,8456,12744,9832,10455,10542,14156,17388,12043,12300,12587,12750,12947,12879,13226,16356,13947,16736,13967,14138,14159,14568,14508,16761,16833,14466,14457,14829,14659,16621,14708,14805,16433,14870,14667,16407,14856,16436,16390,15116,15175,16410,16389,15214,15257,15316,13578.4
3369,5338,9355,7496,8262,9117,13282,10307,11083,10896,14424,17801,12471,12772,13178,13240,13507,13596,13676,16663,14441,17161,14419,14563,14657,14863,15131,17220,17146,15027,15058,15324,15085,17084,15142,15268,17031,15333,15240,16936,15478,16858,16955,15714,15695,16982,16785,15805,15820,15819,14077.46
16424,2849,19273,0.8521766
0.6666666666666666,1.0,1.3333333333333333,3.0,7.666666666666667,3.0,
