114,151,120,122,145,184,202,245,1866,628,633,649,722,758,908,1048,1060,1040,1078,1136,1298,1327,4315,1419,1514,1632,1651,1631,1726,1726,1709,1923,1990,5057,2097,2127,2141,2269,2258,2236,2372,2409,2421,2450,2464,2662,2724,2701,2701,2844,1612.06
4557,9008,6902,9672,7246,11966,8434,9271,14184,11385,11410,11498,11851,17018,12361,15415,15588,15836,15864,13303,13620,13842,16395,13933,13843,13769,13877,13859,13961,13958,14089,14187,14062,16073,14037,14250,14168,14194,15764,14242,14459,15792,14716,14926,14789,14832,15668,14716,14883,16028,13394.02
5086,9414,7522,10109,7648,12470,8816,9849,14568,11986,11982,12105,12489,17441,12693,15678,16024,16182,16224,14020,14240,14346,16810,14344,14388,14330,14426,14442,14521,14383,14684,14686,14590,16438,14680,14794,14808,14837,16241,14701,14918,16193,14977,15372,15291,15332,16118,15419,15529,16202,13886.92
16167,2523,18690,0.865008
1.0,1.3333333333333333,2.0,8.0,4.333333333333333,
