34,146,126,158,272,1188,410,428,492,490,595,596,576,671,795,910,3129,1136,1140,1168,1170,1227,1204,1269,4377,1393,1477,1537,1707,1765,1794,1773,1800,1919,1965,2001,2031,2146,2151,2128,2138,2118,2154,2249,2305,5474,2571,2672,2694,2752,1568.42
4755,9352,6416,7807,8469,12311,9296,9850,10712,10612,11021,11406,11055,11553,11889,12106,15405,17014,15975,16061,16190,13233,13560,13494,16292,13523,16344,13662,13958,13831,13929,16130,14055,16168,14371,14258,14141,14406,14376,14419,14350,15943,14616,14747,14701,15847,15868,14912,15068,15018,13289.5
5098,9619,6959,8321,9023,12454,9654,10273,11206,11048,11633,12057,11632,12090,12492,12637,15966,17411,16498,16401,16538,13691,14099,13942,16804,14262,16712,14227,14385,14300,14600,16491,14590,16630,14763,14935,14603,14734,15036,14931,14882,16351,15200,15059,15061,16282,16263,15312,15535,15379,13761.38
16185,2439,18624,0.86903995
0.6666666666666666,1.6666666666666667,3.0,5.666666666666667,5.666666666666667,
