31,27,27,446,205,247,375,380,376,405,434,462,2343,810,789,812,989,1053,1130,1110,1115,1280,1422,1564,1582,1591,1738,1739,1715,1828,1890,1964,2021,2074,2102,2135,5231,2201,5319,2393,2399,2497,2514,2711,2732,2927,2903,2942,2958,2999,1658.74
4987,3611,8619,8933,7711,8935,9563,10004,9966,10513,13543,14200,14627,11577,11560,11769,15456,12513,12786,15825,15795,13338,13517,13596,16169,13814,13780,13905,13927,14041,15861,14094,14044,13973,15766,16093,15894,14230,15990,14397,14275,14283,15944,14519,14470,14671,14597,14612,14594,14696,13111.66
5643,4078,9137,9426,8215,9640,10052,10623,10670,11170,13977,14707,15067,12107,12171,12361,15838,12845,13261,16290,16126,13910,14074,14261,16507,14493,14218,14407,14377,14508,16505,14436,14644,14343,16315,16495,16222,14705,16315,14973,14788,14820,16357,14915,14980,15065,15124,15134,15148,15267,13614.2
16367,2132,18499,0.88475055
0.6666666666666666,1.3333333333333333,2.3333333333333335,5.0,7.333333333333333,
