44,27,32,123,206,236,224,289,386,489,474,667,789,818,805,921,947,1004,1076,1169,1227,1234,1274,4518,1466,1501,1494,1505,1519,1630,1742,1852,5009,1967,1985,2002,2221,2303,2417,2510,2531,2564,2561,2595,2617,2694,2676,2697,2759,6040,1636.72
3404,4899,3848,10920,8839,9012,8056,9373,9984,10530,10971,11564,15095,12145,11968,12521,12486,12864,15964,16380,13579,13806,13856,16239,16423,16374,13837,13952,14214,14323,14288,16297,16208,14421,14345,14299,14449,14429,14436,14450,14550,14769,14610,15893,14766,14915,15793,14928,14905,15671,13116.96
3925,5252,4334,11491,9324,9479,8383,9859,10318,11034,11619,12104,15408,12801,12375,13113,13205,13364,16475,16678,14008,14346,14373,16855,16985,16727,14160,14290,14698,14758,14867,16607,16607,14802,14898,14818,14950,14951,15059,14929,15203,15284,15098,16187,15367,15526,16234,15318,15461,16177,13601.68
15999,2663,18662,0.8573036
1.0,1.0,2.0,3.3333333333333335,9.333333333333334,
