54,79,103,104,120,165,379,400,1824,664,829,818,966,1022,1093,1121,1149,1165,1170,1376,4290,1419,1405,1509,1489,1520,1500,1529,1661,4817,4895,1833,4926,1904,1986,2078,2111,2118,2150,2167,2332,2379,2461,2578,2595,2635,2709,5822,2793,2968,1823.6
6073,5552,6336,7591,8310,8795,10586,10359,16961,11897,12194,12398,12628,15845,13099,13219,13264,13490,13514,14182,16545,14310,16669,14274,14218,14323,14283,16478,16364,16587,16584,14672,16584,14617,16660,14677,14602,16486,14694,14633,14754,14817,14860,15048,14950,16246,14965,16096,14932,15127,13726.96
6454,6051,6881,8230,8883,9061,11173,10935,17210,12554,12584,12790,13155,16119,13695,13867,13632,13912,13911,14766,17105,14778,16971,14770,14675,14948,14772,16918,16859,16986,17078,15135,17114,15069,17022,15295,15106,16834,15092,15305,15391,15418,15406,15545,15260,16660,15575,16509,15556,15634,14212.98
16346,2610,18956,0.86231273
1.6666666666666667,1.0,3.0,7.666666666666667,3.3333333333333335,
